domain;country;visibility_index
http://archive.sciendo.com/;no;0.0
http://archive.sciendo.com/;pl;0.0
http://archive.sciendo.com/;pt;0.0
http://archive.sciendo.com/;ro;0.0
http://archive.sciendo.com/;se;0.0
http://archive.sciendo.com/;si;0.0
http://archive.sciendo.com/;sk;0.0
http://archive.sciendo.com/;tr;0.0
http://archive.sciendo.com/;uk;0.0
http://archive.sciendo.com/;us;0.0
http://bordar.bournemouth.ac.uk/;at;0.0
http://bordar.bournemouth.ac.uk/;au;0.0
http://bordar.bournemouth.ac.uk/;be;0.0
http://bordar.bournemouth.ac.uk/;bg;0.0
http://bordar.bournemouth.ac.uk/;br;0.0
http://bordar.bournemouth.ac.uk/;ca;0.0
http://bordar.bournemouth.ac.uk/;ch;0.0003
http://bordar.bournemouth.ac.uk/;cz;0.0
http://bordar.bournemouth.ac.uk/;de;0.0
http://bordar.bournemouth.ac.uk/;dk;0.0
http://bordar.bournemouth.ac.uk/;es;0.0
http://bordar.bournemouth.ac.uk/;fi;0.0
http://bordar.bournemouth.ac.uk/;fr;0.0
http://bordar.bournemouth.ac.uk/;gr;0.0
http://bordar.bournemouth.ac.uk/;hr;0.0
http://bordar.bournemouth.ac.uk/;hu;0.0
http://bordar.bournemouth.ac.uk/;ie;0.0
http://bordar.bournemouth.ac.uk/;it;0.0
http://bordar.bournemouth.ac.uk/;jp;0.0
http://bordar.bournemouth.ac.uk/;nl;0.0
http://bordar.bournemouth.ac.uk/;no;0.0
http://bordar.bournemouth.ac.uk/;pl;0.0
http://bordar.bournemouth.ac.uk/;pt;0.0
http://bordar.bournemouth.ac.uk/;ro;0.0
http://bordar.bournemouth.ac.uk/;se;0.0
http://bordar.bournemouth.ac.uk/;si;0.0
http://bordar.bournemouth.ac.uk/;sk;0.0
http://bordar.bournemouth.ac.uk/;tr;0.0
http://bordar.bournemouth.ac.uk/;uk;0.0
http://bordar.bournemouth.ac.uk/;us;0.0
http://cssp.chemspider.com/;at;0.0
http://cssp.chemspider.com/;au;0.0
http://cssp.chemspider.com/;be;0.0
http://cssp.chemspider.com/;bg;0.0
http://cssp.chemspider.com/;br;0.0
http://cssp.chemspider.com/;ca;0.0
http://cssp.chemspider.com/;ch;0.0
http://cssp.chemspider.com/;cz;0.0
http://cssp.chemspider.com/;de;0.0
http://cssp.chemspider.com/;dk;0.0
http://cssp.chemspider.com/;es;0.0
http://cssp.chemspider.com/;fi;0.0
http://cssp.chemspider.com/;fr;0.0
http://cssp.chemspider.com/;gr;0.0
http://cssp.chemspider.com/;hr;0.0
