domain;dois_number;mean_visibility_index;h_index;category
https://data.worldagroforestry.org/;48;0.0;0;economic
https://orthomedia.cadmore.media/;48;0.0;0;economic
https://www.oxfordbibliographies.com/;47;0.11213666666666668;3;economic
https://dataverse.unc.edu/;47;0.0;2;social
https://scholarworks.boisestate.edu/;46;0.0011083333333333333;2;social
https://researchdata.nie.edu.sg/;45;0.0;0;social
https://www.planthealthexchange.org/;45;0.0;1;economic
https://pubs.rsna.org/;43;0.10270333333333335;1;social
https://geodoi.ac.cn/;43;0.0;1;social
https://data.mendeley.com/;42;0.001501666666666663;0;social
https://dl.acm.org/;41;0.17083;3;social
https://www.scidb.cn/;41;0.0;1;economic
https://www.icpsr.umich.edu/;40;0.02917999999999999;1;social
https://doi.org/;40;0.00579;1;social
https://borealisdata.ca/;40;0.0;1;social
https://riubu.ubu.es/;38;0.016238333333333334;1;social
https://gdr.openei.org/;38;0.0006566666666666666;0;social
https://datashare.ed.ac.uk/;38;0.0;1;economic
https://physh.org/;38;0.0;1;economic
https://heidata.uni-heidelberg.de/;37;1.6666666666666667e-05;0;economic
https://springernature.figshare.com/;37;3.3333333333333333e-06;0;social
https://dataverse.cirad.fr/;36;0.0;2;social
https://f1000research.com/;35;0.00663;0;social
https://rune.une.edu.au/;34;0.0006116666666666666;1;social
https://research.repository.duke.edu/;34;0.0;1;social
https://www.sodha.be/;34;0.0;0;social
https://eprints.soton.ac.uk/;31;0.005556666666666659;1;economic
https://data.aussda.at/;30;0.00042666666666666667;3;economic
https://edatos.consorciomadrono.es/;30;0.00014833333333333332;1;social
https://archive.data.jhu.edu/;30;0.0;1;social
https://opendata.pku.edu.cn/;30;0.0;1;economic
https://www.researchgate.net/;28;4.404945;0;social
https://www.gbif.org/;28;0.16051833333333335;1;social
https://publons.com/;28;0.014941666666666657;0;social
https://doi.org/;27;0.00579;1;economic
https://seg.org/;27;0.0026433333333333335;0;social
https://dataverse.tdl.org/;27;1.8333333333333333e-05;0;economic
http://scitation.org/;27;0.0;0;economic
https://dataverse.ird.fr/;27;0.0;1;social
https://researchdata.reading.ac.uk/;26;2.6666666666666663e-05;1;social
