domain,category,h_index
https://datacommons.princeton.edu/,social,0
https://datacompass.lshtm.ac.uk/,economic,0
https://datacompass.lshtm.ac.uk/,social,0
https://datadryad.org/,economic,1
https://datadryad.org/,social,1
https://datadryad.org:443/,economic,0
https://datadryad.org:443/,social,0
https://datahub.duramat.org/,social,0
https://datarepository.wolframcloud.com/,economic,2
https://datarepository.wolframcloud.com/,social,4
https://dataservices.gfz-potsdam.de/,economic,1
https://dataservices.gfz-potsdam.de/,social,2
https://datashare.ed.ac.uk/,economic,1
https://datashare.ed.ac.uk/,social,3
https://dataspace.hkust.edu.hk/,economic,1
https://dataspace.hkust.edu.hk/,social,1
https://dataspace.princeton.edu/,economic,0
https://dataspace.princeton.edu/,social,0
https://dataverse-prod.tdl.org/,social,0
https://dataverse.ada.edu.au/,economic,0
https://dataverse.ada.edu.au/,social,0
https://dataverse.asu.edu/,economic,0
https://dataverse.asu.edu/,social,1
https://dataverse.cirad.fr/,economic,0
https://dataverse.cirad.fr/,social,2
https://dataverse.csuc.cat/,economic,0
https://dataverse.dartmouth.edu/,economic,0
https://dataverse.dartmouth.edu/,social,0
https://dataverse.harvard.edu/,economic,1
https://dataverse.harvard.edu/,social,2
https://dataverse.icrisat.org/,economic,1
https://dataverse.icrisat.org/,social,1
https://dataverse.ird.fr/,economic,0
https://dataverse.ird.fr/,social,1
https://dataverse.lib.umanitoba.ca/,economic,0
https://dataverse.lib.umanitoba.ca/,social,0
https://dataverse.lib.virginia.edu/,social,0
https://dataverse.nioz.nl/,economic,0
https://dataverse.nioz.nl/,social,0
https://dataverse.nl/,economic,0
https://dataverse.nl/,social,1
https://dataverse.no/,economic,1
https://dataverse.no/,social,1
https://dataverse.openforestdata.pl/,social,0
https://dataverse.tdl.org/,economic,0
https://dataverse.tdl.org/,social,1
https://dataverse.ucla.edu/,social,0
https://dataverse.unc.edu/,economic,1
https://dataverse.unc.edu/,social,2
https://dataverse.unimi.it/,social,0
https://dataworks.iupui.edu/,social,1
https://datos.uchile.cl/,economic,0
https://datos.uchile.cl/,social,0
https://ddd.uab.cat/,economic,1
https://ddd.uab.cat/,social,1
https://demonstrations.wolfram.com/,economic,0
https://digibug.ugr.es/,economic,1
https://digibug.ugr.es/,social,1
https://digibuo.uniovi.es/,economic,0
https://digibuo.uniovi.es/,social,0
https://diginole.lib.fsu.edu/,economic,0
https://diginole.lib.fsu.edu/,social,0
https://digital.csic.es/,economic,0
https://digital.csic.es/,social,1
https://digital.lib.washington.edu:443/,social,0
https://digitalcommons.chapman.edu/,economic,0
https://digitalcommons.chapman.edu/,social,0
https://digitalcommons.lsu.edu/,economic,1
https://digitalcommons.lsu.edu/,social,0
https://digitalcommons.mtu.edu/,social,0
https://digitalcommons.uri.edu/,economic,0
